Date ,BTC_Price
7/10/2019,12110.60
7/11/2019,11342.30
7/12/2019,11762.10
7/13/2019,11364.90
7/14/2019,10200.10
7/15/2019,10845.90
7/16/2019,9424.80
7/17/2019,9723.20
7/18/2019,10651.40
7/19/2019,10571.50
7/20/2019,10826.70
7/21/2019,10714.40
7/22/2019,10412.50
7/23/2019,9888.70
7/24/2019,9804.30
7/25/2019,9945.30
7/26/2019,9831.00
7/27/2019,9492.10
7/28/2019,9727.80
7/29/2019,9580.90
7/30/2019,9580.70
7/31/2019,10082.00
8/1/2019,10380.00
8/2/2019,10520.10
8/3/2019,10815.70
8/4/2019,10934.60
8/5/2019,11816.80
8/6/2019,11480.90
8/7/2019,12013.90
8/8/2019,12191.60
8/9/2019,12089.80
8/10/2019,11314.50
8/11/2019,11517.20
8/12/2019,11394.20
8/13/2019,10892.90
8/14/2019,10049.40
8/15/2019,10303.40
8/16/2019,10335.60
8/17/2019,10218.10
8/18/2019,10312.70
8/19/2019,10910.70
8/20/2019,10752.60
8/21/2019,10141.50
8/22/2019,10105.00
8/23/2019,10388.70
8/24/2019,10131.00
8/25/2019,10136.30
8/26/2019,10371.80
8/27/2019,10184.80
8/28/2019,9729.40
8/29/2019,9491.00
8/30/2019,9585.40
8/31/2019,9594.40
9/1/2019,9729.30
9/2/2019,10348.80
9/3/2019,10612.30
9/4/2019,10568.20
9/5/2019,10566.90
9/6/2019,10309.30
9/7/2019,10461.10
9/8/2019,10402.80
9/9/2019,10309.00
9/10/2019,10105.40
9/11/2019,10162.50
9/12/2019,10415.10
9/13/2019,10342.10
9/14/2019,10337.30
9/15/2019,10311.50
9/16/2019,10255.50
9/17/2019,10195.70
9/18/2019,10164.70
9/19/2019,10250.50
9/20/2019,10172.70
9/21/2019,9993.00
9/22/2019,10031.60
9/23/2019,9702.20
9/24/2019,8513.90
9/25/2019,8432.40
9/26/2019,8063.80
9/27/2019,8184.90
9/28/2019,8208.50
9/29/2019,8049.10
9/30/2019,8284.30
10/1/2019,8302.70
10/2/2019,8364.10
10/3/2019,8226.90
10/4/2019,8148.10
10/5/2019,8127.30
10/6/2019,7881.90
10/7/2019,8198.60
10/8/2019,8182.90
10/9/2019,8566.70
10/10/2019,8562.30
10/11/2019,8267.80
10/12/2019,8304.40
10/13/2019,8281.50
