Date,Price
07/19/2021,452073984
07/18/2021,462300000
07/17/2021,457944000
07/16/2021,456803008
07/15/2021,462564992
07/14/2021,476604992
07/13/2021,476286016
07/12/2021,482446016
07/11/2021,495204992
07/10/2021,487271008
07/09/2021,492200992
07/08/2021,480995008
07/07/2021,492276992
07/06/2021,495336992
07/05/2021,495662016
07/04/2021,508200000
07/03/2021,500672992
07/02/2021,489999008
07/01/2021,486764992
06/30/2021,509000000
06/29/2021,517886016
06/28/2021,498000000
06/27/2021,499948992
06/26/2021,469080992
06/25/2021,461152992
06/24/2021,495260992
06/23/2021,486248992
06/22/2021,474875008
06/21/2021,465448992
06/20/2021,519583008
06/19/2021,518131008
06/18/2021,521462016
06/17/2021,552668032
06/16/2021,554691008
06/15/2021,574000000
06/14/2021,572004992
06/13/2021,560001984
06/12/2021,515000000
06/11/2021,537710016
06/10/2021,526753984
06/09/2021,537102016
06/08/2021,487000992
06/07/2021,492840992
06/06/2021,523123008
06/05/2021,520000992
06/04/2021,536171008
06/03/2021,563566976
06/02/2021,542497984
06/01/2021,533054016
05/31/2021,545300992
05/30/2021,525499008
05/29/2021,511647008
05/28/2021,527912992
05/27/2021,565996992
05/26/2021,578152000
05/25/2021,563980032
05/24/2021,571358976
05/23/2021,520612992
05/22/2021,564008000
05/21/2021,567499008
05/20/2021,611139968
05/19/2021,571056000
05/18/2021,640686976
05/17/2021,650531968
05/16/2021,704451968
05/15/2021,710990016
05/14/2021,740803968
05/13/2021,753609984
05/12/2021,780200000
05/11/2021,839971008
05/10/2021,848888000
05/09/2021,859006016
05/08/2021,858588992
05/07/2021,837513024
05/06/2021,829590976
05/05/2021,842265024
05/04/2021,801001024
05/03/2021,840003968
05/02/2021,827715008
05/01/2021,839243008
04/30/2021,839086976
04/29/2021,792000000
04/28/2021,809995008
04/27/2021,815998976
04/26/2021,801308992
04/25/2021,757590016
04/24/2021,768000000
04/23/2021,778275968
04/22/2021,810780992
04/21/2021,825011008
04/20/2021,866363008
04/19/2021,867342016
04/18/2021,881102016
04/17/2021,913148032
04/16/2021,915446976
04/15/2021,936000000
04/14/2021,936787968
04/13/2021,939993024
04/12/2021,898996992
04/11/2021,888998016
04/10/2021,885316992
04/09/2021,863110976
04/08/2021,855998976
04/07/2021,839518976
04/06/2021,855001024
04/05/2021,870000000
04/04/2021,848102016
04/03/2021,836004992
04/02/2021,854008000
04/01/2021,850670016
03/31/2021,850769984
03/30/2021,845705024
03/29/2021,834099968
03/28/2021,811456000
03/27/2021,812001024
03/26/2021,800899968
03/25/2021,761766976
03/24/2021,783929984
03/23/2021,806550016
03/22/2021,811985024
03/21/2021,843000000
03/20/2021,850014016
03/19/2021,848094016
03/18/2021,842896000
03/17/2021,852264000
03/16/2021,827966976
03/15/2021,818371968
03/14/2021,858195968
03/13/2021,883198976
03/12/2021,833808000
03/11/2021,830744000
03/10/2021,808891008
03/09/2021,785000000
03/08/2021,745998976
03/07/2021,730945984
03/06/2021,710872000
03/05/2021,713998976
03/04/2021,706585024
03/03/2021,732936000
03/02/2021,705000000
03/01/2021,714000000
02/28/2021,662300032
02/27/2021,684878016
02/26/2021,684611968
02/25/2021,686099968
02/24/2021,730950016
02/23/2021,725518976
02/22/2021,799998976
02/21/2021,847000000
02/20/2021,824184000
02/19/2021,813340032
02/18/2021,737411968
02/17/2021,737190976
02/16/2021,703979008
02/15/2021,691905024
02/14/2021,709003008
02/13/2021,679000000
02/12/2021,677524992
02/11/2021,680470976
02/10/2021,642337024
02/09/2021,657150016
02/08/2021,637998976
02/07/2021,549001984
02/06/2021,552974976
02/05/2021,532337984
02/04/2021,515000000
02/03/2021,518568000
02/02/2021,493691008
02/01/2021,469503008
01/31/2021,465246016
01/30/2021,478076000
01/29/2021,472625984
01/28/2021,461876992
01/27/2021,433176000
01/26/2021,460969984
01/25/2021,456000992
01/24/2021,451999008
01/23/2021,449936992
01/22/2021,468200992
01/21/2021,445567008
01/20/2021,503300000
01/19/2021,508383008
01/18/2021,515988992
01/17/2021,505576992
01/16/2021,512224000
01/15/2021,525000992
01/14/2021,550550016
01/13/2021,530179008
01/12/2021,487351008
01/11/2021,509120000
01/10/2021,545499008
01/09/2021,567004032
01/08/2021,576089024
01/07/2021,553516032
01/06/2021,512692992
01/05/2021,476400992
01/04/2021,451488000
01/03/2021,462184000
01/02/2021,448478016
01/01/2021,412879008
12/31/2020,406377984
12/30/2020,406527008
12/29/2020,388000000
12/28/2020,386169984
12/27/2020,373768992
12/26/2020,377776992
12/25/2020,352024992
12/24/2020,340374016
12/23/2020,336000000
12/22/2020,338500000
12/21/2020,325000000
12/20/2020,329380992
12/19/2020,332064992
12/18/2020,321388000
12/17/2020,314926016
12/16/2020,293785984
12/15/2020,273200992
12/14/2020,270760992
12/13/2020,268782016
12/12/2020,265890000
12/11/2020,258000000
12/10/2020,260084000
12/09/2020,264846000
12/08/2020,261300000
12/07/2020,270200000
12/06/2020,272000000
12/05/2020,270000000
12/04/2020,264863008
12/03/2020,271449984
12/02/2020,270000000
12/01/2020,264892000
11/30/2020,274848992
11/29/2020,256851008
11/28/2020,251090000
11/27/2020,241490000
11/26/2020,243276992
11/25/2020,265500000
11/24/2020,269249984
11/23/2020,259314000
11/22/2020,260910000
11/21/2020,264504992
11/20/2020,262815008
11/19/2020,252334000
11/18/2020,252200000
11/17/2020,247824000
11/16/2020,235948000
11/15/2020,228400000
11/14/2020,229992000
11/13/2020,232335008
11/12/2020,230250000
11/11/2020,221130000
11/10/2020,215668992
11/09/2020,217580000
11/08/2020,221636992
11/07/2020,211940992
11/06/2020,222808992
11/05/2020,225056992
11/04/2020,205399008
11/03/2020,204124992
11/02/2020,198642000
11/01/2020,199999008
10/31/2020,201663008
10/30/2020,197718000
10/29/2020,196758000
10/28/2020,194782000
10/27/2020,198632992
10/26/2020,190663008
10/25/2020,189956000
10/24/2020,190152000
10/23/2020,188264000
10/22/2020,188559008
10/21/2020,186348000
10/20/2020,173902000
10/19/2020,171599008
10/18/2020,168124992
10/17/2020,167099008
10/16/2020,167320992
10/15/2020,168308992
